country,date,Unnamed: 0,Confirmed,Deaths,Last Update,Latitude,Longitude,province,Recovered,name,pop2020,confirmed_percent,% Confirmed,days100
Germany,2020-03-05,3410,482.0,0.0,2020-03-05T17:43:03,51.0,9.0,,16.0,Germany,83783.942,5.752892362118746e-06,0.0005752892362118746,5
Germany,2020-03-06,3580,670.0,0.0,2020-03-06T17:53:03,51.0,9.0,,17.0,Germany,83783.942,7.996759092571701e-06,0.0007996759092571701,6
Germany,2020-03-07,3778,799.0,0.0,2020-03-07T17:43:05,51.0,9.0,,18.0,Germany,83783.942,9.536433604425058e-06,0.0009536433604425057,7
Germany,2020-03-08,4000,1040.0,0.0,2020-03-08T21:03:03,51.0,9.0,,18.0,Germany,83783.942,1.2412879785484433e-05,0.0012412879785484432,8
Germany,2020-03-09,4255,1176.0,2.0,2020-03-09T18:13:11,51.0,9.0,,18.0,Germany,83783.942,1.4036102526663165e-05,0.0014036102526663165,9
Germany,2020-03-10,4519,1457.0,2.0,2020-03-10T18:53:02,51.0,9.0,,18.0,Germany,83783.942,1.73899671610104e-05,0.00173899671610104,10
Germany,2020-03-11,4725,1908.0,3.0,2020-03-11T19:13:17,51.0,9.0,,25.0,Germany,83783.942,2.2772860221831048e-05,0.002277286022183105,11
Germany,2020-03-12,4941,2078.0,3.0,2020-03-12T09:53:06,51.0,9.0,,25.0,Germany,83783.942,2.480188864830447e-05,0.0024801888648304468,12
Germany,2020-03-13,5206,3675.0,7.0,2020-03-11T20:00:00,51.1657,10.4515,,46.0,Germany,83783.942,4.386282039582239e-05,0.004386282039582239,13
Germany,2020-03-14,5388,4585.0,9.0,2020-03-14T22:13:11,51.1657,10.4515,,46.0,Germany,83783.942,5.472409020812127e-05,0.005472409020812127,14
Greece,2020-03-13,5228,190.0,1.0,2020-03-11T20:00:00,39.0742,21.8243,,0.0,Greece,10423.054,1.8228822377779104e-05,0.0018228822377779105,1
Greece,2020-03-14,5422,228.0,3.0,2020-03-14T22:33:03,39.0742,21.8243,,8.0,Greece,10423.054,2.1874586853334924e-05,0.0021874586853334924,2
Hong Kong,2020-03-02,2976,100.0,2.0,2020-03-02T23:53:02,22.3,114.2,Hong Kong,36.0,Hong Kong,7496.981,1.333870260575557e-05,0.001333870260575557,1
Hong Kong,2020-03-03,3117,100.0,2.0,2020-03-03T11:53:01,22.3,114.2,Hong Kong,37.0,Hong Kong,7496.981,1.333870260575557e-05,0.001333870260575557,2
Hong Kong,2020-03-04,3268,105.0,2.0,2020-03-04T23:23:01,22.3,114.2,Hong Kong,37.0,Hong Kong,7496.981,1.4005637736043347e-05,0.0014005637736043347,3
Hong Kong,2020-03-05,3430,105.0,2.0,2020-03-05T00:23:07,22.3,114.2,Hong Kong,43.0,Hong Kong,7496.981,1.4005637736043347e-05,0.0014005637736043347,4
Hong Kong,2020-03-06,3607,107.0,2.0,2020-03-06T23:13:06,22.3,114.2,Hong Kong,46.0,Hong Kong,7496.981,1.427241178815846e-05,0.0014272411788158461,5
Hong Kong,2020-03-07,3807,108.0,2.0,2020-03-07T10:13:22,22.3,114.2,Hong Kong,51.0,Hong Kong,7496.981,1.4405798814216016e-05,0.0014405798814216015,6
Hong Kong,2020-03-08,4032,114.0,3.0,2020-03-08T14:43:03,22.3,114.2,Hong Kong,58.0,Hong Kong,7496.981,1.5206120970561349e-05,0.001520612097056135,7
Hong Kong,2020-03-09,4289,115.0,3.0,2020-03-09T10:03:17,22.3,114.2,Hong Kong,59.0,Hong Kong,7496.981,1.5339507996618905e-05,0.0015339507996618904,8
Hong Kong SAR,2020-03-10,4559,120.0,3.0,2020-03-10T23:53:02,22.3,114.2,Hong Kong,65.0,,,,,1
Iceland,2020-03-12,4986,103.0,0.0,2020-03-12T21:39:09,64.9631,-19.0208,,1.0,Iceland,341.24300000000005,0.00030183769337393,0.030183769337392998,1
Iceland,2020-03-13,5235,134.0,0.0,2020-03-11T20:00:00,64.9631,-19.0208,,1.0,Iceland,341.24300000000005,0.0003926820476903556,0.039268204769035565,2
Iceland,2020-03-14,5432,156.0,0.0,2020-03-14T14:53:04,64.9631,-19.0208,,1.0,Iceland,341.24300000000005,0.000457152234624593,0.045715223462459306,3
India,2020-03-14,5451,102.0,2.0,2020-03-14T20:33:03,20.5937,78.9629,,4.0,India,1380004.385,7.391280861763349e-08,7.391280861763348e-06,1
Iran,2020-02-26,2404,139.0,19.0,2020-02-26T23:43:03,,,,49.0,Iran,83992.94900000001,1.6549008179246094e-06,0.00016549008179246095,1
Iran,2020-02-27,2500,245.0,26.0,2020-02-27T12:03:04,,,,49.0,Iran,83992.94900000001,2.9169115136081245e-06,0.0002916911513608125,2
Iran,2020-02-28,2601,388.0,34.0,2020-02-28T15:43:03,,,,73.0,Iran,83992.94900000001,4.6194353766528665e-06,0.00046194353766528673,3
Iran,2020-02-29,2711,593.0,43.0,2020-02-29T14:53:04,,,,123.0,Iran,83992.94900000001,7.0601164390596646e-06,0.0007060116439059664,4
Iran,2020-03-01,2826,978.0,54.0,2020-03-01T15:33:03,32.0,53.0,,175.0,Iran,83992.94900000001,1.1643834531872431e-05,0.0011643834531872431,5
Iran,2020-03-02,2946,1501.0,66.0,2020-03-02T20:23:16,32.0,53.0,,291.0,Iran,83992.94900000001,1.7870547681329775e-05,0.0017870547681329773,6
Iran,2020-03-03,3087,2336.0,77.0,2020-03-03T14:23:03,32.0,53.0,,291.0,Iran,83992.94900000001,2.7811858350157463e-05,0.0027811858350157465,7
Iran,2020-03-04,3238,2922.0,92.0,2020-03-04T12:33:03,32.0,53.0,,552.0,Iran,83992.94900000001,3.478863446025689e-05,0.003478863446025689,8
Iran,2020-03-05,3398,3513.0,107.0,2020-03-05T13:43:04,32.0,53.0,,739.0,Iran,83992.94900000001,4.1824939376756494e-05,0.00418249393767565,9
