,date,country,Confirmed,Deaths,Recovered,name,pop2020,PercentOfPopulationConfirmedDecimal,PercentOfPopulationConfirmed,MortalityDecimal,MortalityPercent,active,PercentOfPopulationActiveDecimal,PercentOfPopulationActive,PercentOfPopulationRecoveredDecimal,PercentOfPopulationRecovered
112,2020-01-29,Singapore,7.0,0.0,0.0,Singapore,5850.342,1.1965112466929285e-06,0.00011965112466929284,0.0,0.0,7.0,1.1965112466929285e-06,0.00011965112466929284,0.0,0.0
113,2020-01-29,South Korea,4.0,0.0,0.0,South Korea,51269.185,7.80195745261018e-08,7.80195745261018e-06,0.0,0.0,4.0,7.80195745261018e-08,7.80195745261018e-06,0.0,0.0
114,2020-01-29,Sri Lanka,1.0,0.0,0.0,Sri Lanka,21413.249,4.6700059388465526e-08,4.670005938846553e-06,0.0,0.0,1.0,4.6700059388465526e-08,4.670005938846553e-06,0.0,0.0
115,2020-01-29,Taiwan,8.0,0.0,0.0,Taiwan,23816.775,3.3589770235474784e-07,3.3589770235474786e-05,0.0,0.0,8.0,3.3589770235474784e-07,3.3589770235474786e-05,0.0,0.0
116,2020-01-29,Thailand,14.0,0.0,5.0,Thailand,69799.978,2.005731291204705e-07,2.005731291204705e-05,0.0,0.0,9.0,1.2893986872030246e-07,2.005731291204705e-05,7.163326040016803e-08,7.163326040016803e-06
117,2020-01-29,US,5.0,0.0,0.0,US,331002.651,1.5105619199406353e-08,1.5105619199406354e-06,0.0,0.0,5.0,1.5105619199406353e-08,1.5105619199406354e-06,0.0,0.0
118,2020-01-29,United Arab Emirates,4.0,0.0,0.0,United Arab Emirates,9890.402,4.044324993058927e-07,4.044324993058927e-05,0.0,0.0,4.0,4.044324993058927e-07,4.044324993058927e-05,0.0,0.0
119,2020-01-29,Vietnam,2.0,0.0,0.0,Vietnam,97338.579,2.0546837857577518e-08,2.054683785757752e-06,0.0,0.0,2.0,2.0546837857577518e-08,2.054683785757752e-06,0.0,0.0
120,2020-01-30,Australia,9.0,0.0,2.0,Australia,25499.884,3.529427820142241e-07,3.529427820142241e-05,0.0,0.0,7.0,2.7451105267772985e-07,3.529427820142241e-05,7.843172933649423e-08,7.843172933649423e-06
121,2020-01-30,Cambodia,1.0,0.0,0.0,Cambodia,16718.965,5.981231493695932e-08,5.981231493695932e-06,0.0,0.0,1.0,5.981231493695932e-08,5.981231493695932e-06,0.0,0.0
